date,rainfall,sunhours,windspeed,temperature,heating_degree_days
Q1 2001,249.2489354,2.832804182,8.794620556,4.714600553,8.535147692
Q2 2001,178.4850006,6.45253785,8.241630769,11.42111084,3.693703806
Q3 2001,315.9032929,5.462754593,7.766156522,15.85013793,0.649218154
Q4 2001,386.5827322,2.79097304,9.458103261,8.534336504,7.166271067
Q1 2002,520.0009823,2.735622721,11.57778556,6.979438177,8.535147692
Q2 2002,320.132916,6.176893543,9.651286264,11.86608849,3.693703806
Q3 2002,252.0036447,5.547617873,6.500485326,15.79855639,0.649218154
Q4 2002,360.6449786,2.065889751,8.753621196,8.338076178,7.166271067
Q1 2003,258.655734,3.806208949,9.604857778,5.754078052,9.732519929
Q2 2003,260.0650952,6.766557751,9.040245055,12.63171007,3.183900464
Q3 2003,188.7681597,6.313262682,7.598631522,16.63876346,0.606677475
Q4 2003,331.359865,2.814558881,9.187796739,7.454463644,7.906211973
Q1 2004,371.6950899,2.763204364,9.769412088,5.915808342,9.588041184
Q2 2004,276.2307667,6.215676988,8.290174725,12.31809473,3.4626246
Q3 2004,425.6758565,5.586284727,8.451633152,15.96591001,0.699898092
Q4 2004,469.5835191,2.240035803,9.310311957,8.114148061,7.39054128
Q1 2005,401.2606702,2.386526712,10.33045389,6.091705328,9.39227061
Q2 2005,289.0440876,6.308248307,8.681141209,11.79312978,4.091095381
Q3 2005,290.3057893,5.937286998,7.977344565,15.91772863,0.590498183
Q4 2005,392.191383,2.602219822,8.711248913,8.11201741,7.411882629
Q1 2006,295.0154243,2.400215482,8.781474444,4.561931648,10.9264766
Q2 2006,284.4959215,6.393895771,8.404175824,12.02323603,3.77155549
Q3 2006,317.1156582,6.57799817,7.894291304,17.28868743,0.171185557
Q4 2006,695.7868959,2.672534377,10.93583152,9.091377225,6.41289971
Q1 2007,484.1533164,3.206602377,11.05407333,6.716725096,8.783555976
Q2 2007,247.9300746,5.845500264,7.922185714,12.65061433,2.96786149
Q3 2007,296.5601044,5.834445705,8.307891304,14.89261433,1.053029244
Q4 2007,387.7344629,2.537609272,8.809783696,7.847373848,7.639624741
Q1 2008,525.0200599,3.171077387,11.50384286,5.957090528,9.542909472
Q2 2008,192.2957299,6.321356274,8.128952747,11.68483951,3.887700019
Q3 2008,342.9498065,4.821043242,8.005090217,15.35732653,0.873831726
Q4 2008,503.1940857,2.662810381,9.605329348,6.814999534,8.686921584
Q1 2009,323.555342,3.01762329,9.401523333,4.878068783,10.62193122
Q2 2009,271.2921796,6.526165224,8.297327473,12.13607984,3.64563056
Q3 2009,408.2769121,5.694720977,8.927807609,15.65326087,0.62818323
Q4 2009,460.3781933,2.42462773,9.246172826,7.655150104,7.844849896
Q1 2010,194.6703167,2.707526619,7.675122222,3.470952381,12.02904762
Q2 2010,153.1802817,7.21640868,7.057804396,11.63932496,4.185164835
